"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"<U+092B><U+0947><U+092B><U+0928><U+093E> (<U+092C><U+0932><U+093F><U+092F><U+093E>) <U+092E><U+0947><U+0902> <U+091C><U+0928><U+0938><U+092D><U+093E> <U+0915><U+094B> <U+0938><U+0902><U+092C><U+094B><U+0927><U+093F><U+0924> <U+0915><U+093F><U+092F><U+093E> <U+0964> https://t.co/SgUBQNFBY0",FALSE,1746,NA,2017-02-27 12:03:29,FALSE,NA,"836184982271873028",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",449,FALSE,FALSE,NA,NA
"<U+0935><U+0940><U+0930><U+094B><U+0902> <U+0915><U+0940> <U+092D><U+0942><U+092E><U+093F> <U+092C><U+0932><U+093F><U+092F><U+093E> <U+092E><U+0947><U+0902> <U+0938><U+092D><U+093E> <U+0915><U+0940>,<U+0926><U+0936><U+0915><U+094B><U+0902> <U+0938><U+0947> <U+0938><U+092A><U+093E>-<U+092C><U+0938><U+092A><U+093E> <U+0915><U+0947> <U+0915><U+0941><U+0936><U+093E><U+0938><U+0928> <U+0938><U+0947> <U+092F><U+0939> <U+0915><U+094D><U+0937><U+0947><U+0924><U+094D><U+0930> <U+0935><U+093F><U+0915><U+093E><U+0938> <U+0938><U+0947> <U+0935><U+0902><U+091A><U+093F><U+0924> <U+0939><U+0948>..<U+092A><U+0930> <U+0905><U+092C> <U+092F><U+0939><U+093E><U+0901> <U+092A><U+0930><U+093F><U+0935><U+0930><U+094D><U+0924><U+0928> <U+0915><U+0940><U+2026> https://t.co/OpljAIUmga",FALSE,1667,NA,2017-02-27 10:40:12,TRUE,NA,"836164021095030784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",495,FALSE,FALSE,NA,NA
"<U+0905><U+092A><U+0928><U+093E> <U+0938><U+092E><U+094D><U+092A><U+0942><U+0930><U+094D><U+0923> <U+091C><U+0940><U+0935><U+0928><U+00A0><U+0938><U+092E><U+093E><U+091C> <U+090F><U+0935><U+0902> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930> <U+0938><U+0947><U+0935><U+093E> <U+0915><U+094B> <U+0938><U+092E><U+0930><U+094D><U+092A><U+093F><U+0924> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+0930><U+093E><U+0937><U+094D><U+091F><U+094D><U+0930><U+090B><U+0937><U+093F><U+00A0><U+0928><U+093E><U+0928><U+093E><U+091C><U+0940> <U+0926><U+0947><U+0936><U+092E><U+0941><U+0916> <U+091C><U+0940> <U+0915><U+0940> <U+092A><U+0941><U+0923><U+094D><U+092F><U+0924><U+093F><U+0925><U+093F> <U+092A><U+0930><U+00A0><U+092D><U+093E><U+0935><U+092D><U+0940><U+0928><U+0940><U+2026> https://t.co/ToU0BTBWjy",FALSE,1664,NA,2017-02-27 03:08:41,TRUE,NA,"836050392530067456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",499,FALSE,FALSE,NA,NA
"<U+0926><U+0947><U+0936> <U+0915><U+0947> <U+0915><U+0930><U+094B><U+0921><U+094B><U+0902><U+00A0><U+092F><U+0941><U+0935><U+093E><U+0913><U+0902> <U+0915><U+0947> <U+0939><U+0943><U+0926><U+092F><U+00A0><U+092E><U+0947><U+0902> <U+0938><U+094D><U+0935><U+093E><U+0927><U+0940><U+0928><U+0924><U+093E> <U+0915><U+0940> <U+0905><U+0932><U+0916> <U+091C><U+0917><U+093E><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947><U+00A0><U+092E><U+0939><U+093E><U+0928> <U+0915><U+094D><U+0930><U+093E><U+0902><U+0924><U+093F><U+0915><U+093E><U+0930><U+0940> <U+091A><U+0902><U+0926><U+094D><U+0930><U+0936><U+0947><U+0916><U+0930> <U+0906><U+091C><U+093C><U+093E><U+0926><U+00A0><U+0915><U+0947> <U+092C><U+0932><U+093F><U+0926><U+093E><U+0928> <U+0926><U+093F><U+0935><U+0938> <U+092A><U+0930> <U+0909><U+0928><U+094D><U+2026> https://t.co/O93wI0Tetg",FALSE,2053,NA,2017-02-27 03:06:19,TRUE,NA,"836049797693878275",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",568,FALSE,FALSE,NA,NA
"<U+0909>.<U+092A><U+094D><U+0930> <U+0915><U+0947> <U+092A><U+093E><U+0902><U+091A><U+0935><U+0947><U+0902> <U+091A><U+0930><U+0923> <U+0915><U+0947> <U+0938><U+092D><U+0940> <U+092E><U+0924><U+0926><U+093E><U+0924><U+093E><U+0913><U+0902> <U+0938><U+0947> <U+0905><U+092A><U+0940><U+0932> <U+0915><U+0930><U+0924><U+093E> <U+0939><U+0942><U+0901> <U+0915><U+093F> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092E><U+0947><U+0902> <U+0924><U+0941><U+0937><U+094D><U+091F><U+093F><U+0915><U+0930><U+0923> <U+090F><U+0935><U+0902> <U+092A><U+0930><U+093F><U+0935><U+093E><U+0930><U+0935><U+093E><U+0926> <U+0938><U+0947> <U+092E><U+0941><U+0915><U+094D><U+0924> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+092C><U+0928><U+093E><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0905><U+0935><U+0936><U+094D><U+092F> <U+0915><U+0930><U+0947><U+0902> |",FALSE,1702,NA,2017-02-27 03:01:48,FALSE,NA,"836048662853623808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",522,FALSE,FALSE,NA,NA
"<U+0909>.<U+092A><U+094D><U+0930> <U+092E><U+0947><U+0902> <U+091C><U+092C>-<U+091C><U+092C> <U+0938><U+092A><U+093E> <U+0914><U+0930> <U+092C><U+0938><U+092A><U+093E> <U+0915><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0906><U+0924><U+0940> <U+0939><U+0948> <U+0924><U+092C>-<U+0924><U+092C> <U+092F><U+0947> <U+0926><U+094B><U+0928><U+094B><U+0902> <U+092A><U+093E><U+0930><U+094D><U+091F><U+093F><U+092F><U+093E><U+0901> <U+0932><U+0942><U+091F>-<U+0916><U+0938><U+094B><U+091F> <U+092E><U+0947><U+0902> <U+0935><U+094D><U+092F><U+0938><U+094D><U+0924> <U+0939><U+094B> <U+091C><U+093E><U+0924><U+0940> <U+0939><U+0948><U+0902>,<U+091C><U+0928><U+0924><U+093E> <U+0915><U+0940> <U+092D><U+0932><U+093E><U+0908><U+2026> https://t.co/QmUIHxeuXA",FALSE,1827,NA,2017-02-26 14:25:56,TRUE,NA,"835858440689872897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",529,FALSE,FALSE,NA,NA
"<U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+092F><U+093E><U+0926><U+0935> <U+0915><U+0939><U+0924><U+0947> <U+0939><U+0948><U+0902> <U+0915><U+093F> <U+0909><U+0928><U+094D><U+0939><U+0947><U+0902> <U+092A><U+094D><U+0930><U+0927><U+093E><U+0928><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+092E><U+094B><U+0926><U+0940> <U+091C><U+0940> <U+0915><U+0940> <U+2018><U+092E><U+0928> <U+0915><U+0940> <U+092C><U+093E><U+0924>' <U+0938><U+092E><U+091D> <U+092E><U+0947><U+0902> <U+0928><U+0939><U+0940><U+0902> <U+0906><U+0924><U+0940>...<U+0905><U+0930><U+0947> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+091C><U+0940> <U+2018><U+092E><U+0928> <U+0915><U+0940> <U+092C><U+093E><U+0924>' <U+0938><U+092E><U+091D><U+2026> https://t.co/n7TBblSieE",FALSE,4073,NA,2017-02-26 12:58:19,TRUE,NA,"835836393586819072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",1217,FALSE,FALSE,NA,NA
"<U+0906><U+091C><U+092E><U+0917><U+0922><U+093C> <U+091C><U+0928><U+0938><U+092D><U+093E> <U+0915><U+0947> <U+0915><U+0941><U+091B> <U+0926><U+094D><U+0930><U+094D><U+0936><U+094D><U+092F> <U+0964> https://t.co/1IxKMnSLut",FALSE,1472,NA,2017-02-26 12:26:06,FALSE,NA,"835828282943655936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",417,FALSE,FALSE,NA,NA
"<U+0917><U+094B><U+092A><U+093E><U+0932><U+092A><U+0941><U+0930> <U+0938><U+092D><U+093E>: 11 <U+092E><U+093E><U+0930><U+094D><U+091A> <U+0915><U+094B> <U+0909>.<U+092A><U+094D><U+0930> <U+0938><U+0947> <U+091C><U+093E><U+0924><U+093F><U+0935><U+093E><U+0926>,<U+092A><U+0930><U+093F><U+0935><U+093E><U+0930><U+0935><U+093E><U+0926> <U+0914><U+0930> <U+0924><U+0941><U+0937><U+094D><U+091F><U+093F><U+0915><U+0930><U+0923> <U+092B><U+0948><U+0932><U+093E><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0940> <U+0938><U+092A><U+093E> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+091C><U+093E><U+090F><U+0917><U+0940> <U+0914><U+0930> <U+0938><U+092C><U+0915><U+093E> <U+0938><U+093E><U+0925>-<U+0938><U+092C><U+0915><U+093E> <U+0935><U+093F><U+0915><U+093E><U+2026> https://t.co/B5XJAmIj1q",FALSE,1507,NA,2017-02-26 11:48:57,TRUE,NA,"835818936843259909",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmitShah",498,FALSE,FALSE,NA,NA
"Pictures of public meeting in Paniyara, Maharajganj (Uttar Pradesh). https://t.co/Axo7u6xqmY",FALSE,1165,NA,2017-02-26 11:18:04,FALSE,NA,"835811163254370304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitShah",346,FALSE,FALSE,NA,NA
