"word","freq"
"lakh",21
"noida",21
"rahul",21
"ubueuuduubu",21
"ueubuu",21
"ueueuuuuf",21
"ueuufuduub",21
"uubuubu",21
"uueueuubuuueuu",21
"uuuc",21
"election",20
"gandhi",20
"gave",20
"holi",20
"httpstcoglrgzajn",20
"live",20
"mahine",20
"modi",20
"now",20
"rakshabandhankya",20
"towards",20
"ueufuu",20
"uueduaubdedubuaceduaubdedubu",20
"uueuuub",20
"uueuuueueuucubuuuuuu",20
"uufuuue",20
"uuuduuueueu",20
"uuueu",20
"uuueuueucueu",20
"yojna",20
"agra",19
"families",19
"httpstcohodqccfvi",19
"indias",19
"ivou",19
"kabir",19
"largest",19
"progressive",19
"scheme",19
"ubuuaue",19
"ucudueueu",19
"ucufu",19
"ueuubudu",19
"ueuuuduuueuufu",19
"upliftment",19
"upvotes",19
"uubuueuuuuuc",19
"uucueubue",19
"uueueueuuduf",19
"uufuuuue",19
"uuuufuf",19
"win",19
"women",19
"akhileshs",18
"day",18
"dimpleu",18
"kyunki",18
"reading",18
"real",18
"screw",18
"space",18
"uauucuu",18
"ucuuduu",18
"ueueueuue",18
"uueuudufuduuuf",18
"uuuduc",18
"arterial",17
"face",17
"httpstcoblxcneg",17
"httpstcoqngdluvz",17
"httpstcoswzlnlyq",17
"htu",17
"itselfpeople",17
"kiya",17
"see",17
"support",17
"talk",17
"ucueuu",17
"ufuuauuueubuuuuu",17
"upkosathpasandhai",17
"uttarpradeshu",17
"uubuu",17
"uufuudub",17
"uuudu",17
"cmcares",16
"galli",16
"made",16
"nahin",16
"picture",16
"road",16
"uauuduaue",16
"ucubuuu",16
"uueueucuueuuuaueuudufu",16
"uufuuaueu",16
"uuubuuc",16
"uuuuuduueuudufuduuuf",16
"aapka",15
"boycott",15
"human",15
"like",15
"many",15
"minister",15
"mya",15
"naam",15
"partner",15
"uaueuudufu",15
"ueuueuuu",15
"uuauue",15
"uufufub",15
"uufuueuubu",15
"uufuueuue",15
"dynamicsecular",14
"fake",14
"httpstcovljjqfvysu",14
"kar",14
"kuch",14
"march",14
"nau",14
"project",14
"rape",14
"reached",14
"saal",14
"takes",14
"things",14
"thrashes",14
"uauuaueu",14
"ucueufuuu",14
"ucuucue",14
"ueueubucu",14
"ueuuue",14
"uudufue",14
"uufuuu",14
"uuudufuudu",14
"akhileshagain",13
"art",13
"belive",13
"bhai",13
"claimseduaubdedubu",13
"cleaners",13
"demonetisation",13
"dev",13
"dont",13
"golden",13
"heart",13
"httpstcofowwku",13
"httpstcokambqvecnn",13
"httpstcoojwixczxm",13
"humanity",13
"humans",13
"jumlaboltahai",13
"long",13
"toh",13
"ucueuuu",13
"ueucucuu",13
"upkokampasandhai",13
"uudufueu",13
"within",13
"yadavakhilesh",13
"campaign",12
"chose",12
"dil",12
"eduaubdedububeduaubdedububeduaubdedubub",12
